economy,year,iso3,gpi,region,income_group,pop_millions
Guinea,2014,GIN,0.441119998693466,Sub-Saharan Africa ,Lower middle income,14.75
Guinea-Bissau,1989,GNB,0.0599200017750263,Sub-Saharan Africa ,Low income,2.20
Guyana,2024,GUY,1.57473742526691,Latin America & Caribbean ,High income,0.83
Haiti,1986,HTI,0.348159998655319,Latin America & Caribbean ,Lower middle income,11.77
Honduras,2019,HND,1.28411490523733,Latin America & Caribbean ,Lower middle income,10.83
"Hong Kong SAR, China",2024,HKG,1.09234325401374,East Asia & Pacific,High income,7.52
Hungary,2023,HUN,1.20304000377655,Europe & Central Asia,High income,9.56
Iceland,2023,ISL,1.51546001434326,Europe & Central Asia,High income,0.39
India,2024,IND,1.05365860893619,South Asia,Lower middle income,1450.94
Indonesia,2023,IDN,1.19583636791956,East Asia & Pacific,Upper middle income,283.49
"Iran, Islamic Rep.",2022,IRN,1.01493000984192,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,91.57
Iraq,2005,IRQ,0.583779990673065,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,46.04
Ireland,2022,IRL,1.1832400560379,Europe & Central Asia,High income,5.40
Israel,2023,ISR,1.29414999485016,"Middle East, North Africa, Afghanistan & Pakistan",High income,9.97
Italy,2023,ITA,1.29103994369507,Europe & Central Asia,High income,58.95
Jamaica,2015,JAM,1.42249157083503,Latin America & Caribbean ,Upper middle income,2.84
Japan,2023,JPN,0.980690002441406,East Asia & Pacific,High income,123.98
Jordan,2024,JOR,1.32590658146844,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,11.55
Kazakhstan,2025,KAZ,1.17262486302981,Europe & Central Asia,Upper middle income,20.59
Kenya,2024,KEN,0.793476954009458,Sub-Saharan Africa ,Lower middle income,56.43
Kiribati,2024,KIR,1.55934000015259,East Asia & Pacific,Lower middle income,0.13
"Korea, Dem. People's Rep.",2018,PRK,0.511500000953674,East Asia & Pacific,Low income,26.50
"Korea, Rep.",2023,KOR,0.873420000076294,East Asia & Pacific,High income,51.75
Kuwait,2021,KWT,1.39462388477864,"Middle East, North Africa, Afghanistan & Pakistan",High income,4.90
Kyrgyz Republic,2025,KGZ,1.2762129624705,Europe & Central Asia,Lower middle income,7.22
Lao PDR,2023,LAO,0.745280027389526,East Asia & Pacific,Lower middle income,7.77
Latvia,2023,LVA,1.30268001556397,Europe & Central Asia,High income,1.87
Lebanon,2019,LBN,1.23959448754796,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,5.81
Lesotho,2018,LSO,1.33870059773711,Sub-Saharan Africa ,Lower middle income,2.34
Liberia,2012,LBR,0.612155806009775,Sub-Saharan Africa ,Low income,5.61
Libya,2003,LBY,1.11759996414185,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,7.38
Liechtenstein,2021,LIE,0.651700019836426,Europe & Central Asia,High income,0.04
Lithuania,2023,LTU,1.31413996219635,Europe & Central Asia,High income,2.89
Luxembourg,2023,LUX,1.15780997276306,Europe & Central Asia,High income,0.68
"Macao SAR, China",2024,MAC,1.10614641930701,East Asia & Pacific,High income,0.69
Madagascar,2023,MDG,1.02375513096742,Sub-Saharan Africa ,Low income,31.96
Malawi,2022,MWI,0.695876864473449,Sub-Saharan Africa ,Low income,21.66
Malaysia,2024,MYS,1.30503585927416,East Asia & Pacific,Upper middle income,35.56
Maldives,2022,MDV,1.6430082221163,South Asia,Upper middle income,0.53
Mali,2015,MLI,0.423437384041241,Sub-Saharan Africa ,Low income,24.48
Malta,2023,MLT,1.38294994831085,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.57
Marshall Islands,2024,MHL,1.26754630830994,East Asia & Pacific,Upper middle income,0.04
Mauritania,2020,MRT,0.56597407713836,Sub-Saharan Africa ,Lower middle income,5.17
Mauritius,2025,MUS,1,Sub-Saharan Africa ,Upper middle income,1.25
Mexico,2023,MEX,1.15832996368408,Latin America & Caribbean ,Upper middle income,130.86
